base_rtt_ms,jitter_fraction,baseline,seed,median_crossover_mbps
20,0.12,full,43,3.864663592487699
20,0.12,full,44,3.8686472050396157
20,0.12,full,45,3.8679356050761635
20,0.12,full,46,3.870109278522345
20,0.12,full,47,3.8555966843282707
20,0.12,full,48,3.8664014329131584
20,0.12,full,49,3.867353808026235
20,0.12,full,50,3.8639514957372434
20,0.12,full,51,3.8677986976901666
20,0.3,pre_cached,42,0.27617911067862416
20,0.3,pre_cached,43,0.27554416906162005
20,0.3,pre_cached,44,0.2762021559864517
20,0.3,pre_cached,45,0.276084487787037
20,0.3,pre_cached,46,0.27644409951607435
20,0.3,pre_cached,47,0.274053178601422
20,0.3,pre_cached,48,0.27583099473779216
20,0.3,pre_cached,49,0.27598832567131104
20,0.3,pre_cached,50,0.27542673701552806
20,0.3,pre_cached,51,0.27606185553160656
20,0.3,full,42,3.5846242231110237
20,0.3,full,43,3.576383096202542
20,0.3,full,44,3.5849233361339623
20,0.3,full,45,3.5833960798658273
20,0.3,full,46,3.5880636049065693
20,0.3,full,47,3.5570310152036537
20,0.3,full,48,3.580105905882428
20,0.3,full,49,3.582147958498031
20,0.3,full,50,3.574858905050081
20,0.3,full,51,3.5831023279928482
50,0.0,pre_cached,42,0.15612351492880727
50,0.0,pre_cached,43,0.15612351492880727
50,0.0,pre_cached,44,0.15612351492880727
50,0.0,pre_cached,45,0.15612351492880727
50,0.0,pre_cached,46,0.15612351492880727
50,0.0,pre_cached,47,0.15612351492880727
50,0.0,pre_cached,48,0.15612351492880727
50,0.0,pre_cached,49,0.15612351492880727
50,0.0,pre_cached,50,0.15612351492880727
50,0.0,pre_cached,51,0.15612351492880727
50,0.0,full,42,2.0263811120105606
50,0.0,full,43,2.0263811120105606
50,0.0,full,44,2.0263811120105606
50,0.0,full,45,2.0263811120105606
50,0.0,full,46,2.0263811120105606
50,0.0,full,47,2.0263811120105606
50,0.0,full,48,2.0263811120105606
50,0.0,full,49,2.0263811120105606
50,0.0,full,50,2.0263811120105606
50,0.0,full,51,2.0263811120105606
50,0.12,pre_cached,42,0.1460273305157519
50,0.12,pre_cached,43,0.14584962891607084
50,0.12,pre_cached,44,0.146033772970786
50,0.12,pre_cached,45,0.14600087273027176
50,0.12,pre_cached,46,0.14610137928783445
50,0.12,pre_cached,47,0.1454308251810308
50,0.12,pre_cached,48,0.14592995078041324
50,0.12,pre_cached,49,0.14597397583840327
50,0.12,pre_cached,50,0.1458167209333872
50,0.12,pre_cached,51,0.1459945432338831
50,0.12,full,42,1.8953392416855168
50,0.12,full,43,1.893032791146455
50,0.12,full,44,1.8954228605382055
50,0.12,full,45,1.8949958369345599
50,0.12,full,46,1.8963003463159378
50,0.12,full,47,1.8875969925820195
50,0.12,full,48,1.8940753164115254
50,0.12,full,49,1.894646732869878
50,0.12,full,50,1.8926056670545146
50,0.12,full,51,1.8949136842112093
50,0.3,pre_cached,42,0.13311493020639437
50,0.3,pre_cached,43,0.13274634234372024
50,0.3,pre_cached,44,0.1331283147056933
50,0.3,pre_cached,45,0.1330599789800438
50,0.3,pre_cached,46,0.13326886078568684
50,0.3,pre_cached,47,0.13188217571418576
50,0.3,pre_cached,48,0.1329128035373165
50,0.3,pre_cached,49,0.13300414173876313
50,0.3,pre_cached,50,0.1326782102418294
50,0.3,pre_cached,51,0.13304683664725891
50,0.3,full,42,1.7277447309576934
50,0.3,full,43,1.72296070157314
50,0.3,full,44,1.727918453004532
50,0.3,full,45,1.727031499980224
50,0.3,full,46,1.7297426491994226
50,0.3,full,47,1.71174438392543
50,0.3,full,48,1.7251212589929494
50,0.3,full,49,1.7263067691084557
50,0.3,full,50,1.7220763914520405
50,0.3,full,51,1.7268609210963501
100,0.0,pre_cached,42,0.0848619623781068
100,0.0,pre_cached,43,0.0848619623781068
100,0.0,pre_cached,44,0.0848619623781068
100,0.0,pre_cached,45,0.0848619623781068
100,0.0,pre_cached,46,0.0848619623781068
100,0.0,pre_cached,47,0.0848619623781068
100,0.0,pre_cached,48,0.0848619623781068
100,0.0,pre_cached,49,0.0848619623781068
100,0.0,pre_cached,50,0.0848619623781068
100,0.0,pre_cached,51,0.0848619623781068
100,0.0,full,42,1.1014527681468216
100,0.0,full,43,1.1014527681468216
100,0.0,full,44,1.1014527681468216
100,0.0,full,45,1.1014527681468216
100,0.0,full,46,1.1014527681468216
100,0.0,full,47,1.1014527681468216
100,0.0,full,48,1.1014527681468216
100,0.0,full,49,1.1014527681468216
100,0.0,full,50,1.1014527681468216
100,0.0,full,51,1.1014527681468216
100,0.12,pre_cached,42,0.07892947162785419
100,0.12,pre_cached,43,0.07882564981626056
100,0.12,pre_cached,44,0.07893323600479785
100,0.12,pre_cached,45,0.07891401242259034
100,0.12,pre_cached,46,0.07897274052264666
100,0.12,pre_cached,47,0.07858104550261609
100,0.12,pre_cached,48,0.07887257517119761
100,0.12,pre_cached,49,0.07889829711205024
100,0.12,pre_cached,50,0.07880642563498622
100,0.12,pre_cached,51,0.07891031418176675
100,0.12,full,42,1.0244529183229751
100,0.12,full,43,1.0231053791126006
100,0.12,full,44,1.0245017774736325
100,0.12,full,45,1.0242522679496622
100,0.12,full,46,1.0250145202775875
100,0.12,full,47,1.0199305751036625
100,0.12,full,48,1.0237144395284012
100,0.12,full,49,1.0240482934973678
100,0.12,full,50,1.0228558618131345
100,0.12,full,51,1.0242042672025868
100,0.3,pre_cached,42,0.07143835273894211
100,0.3,pre_cached,43,0.07122608101254829
100,0.3,pre_cached,44,0.07144606256856038
100,0.3,pre_cached,45,0.07140670057051068
100,0.3,pre_cached,46,0.07152702771115885
100,0.3,pre_cached,47,0.07072874053919943
100,0.3,pre_cached,48,0.07132193622618986
100,0.3,pre_cached,49,0.07137454000788057
100,0.3,pre_cached,50,0.07118685279378423
100,0.3,pre_cached,51,0.07139913079878435
100,0.3,full,42,0.9272230946718804
100,0.3,full,43,0.9244679464984968
100,0.3,full,44,0.927323163217752
100,0.3,full,45,0.926812270227575
100,0.3,full,46,0.9283740378138534
100,0.3,full,47,0.9180127924373545
100,0.3,full,48,0.9257120844779652
100,0.3,full,49,0.9263948471590833
100,0.3,full,50,0.9239587898759499
100,0.3,full,51,0.9267140195415366
200,0.0,pre_cached,42,0.044363294146393145
200,0.0,pre_cached,43,0.044363294146393145
200,0.0,pre_cached,44,0.044363294146393145
200,0.0,pre_cached,45,0.044363294146393145
200,0.0,pre_cached,46,0.044363294146393145
200,0.0,pre_cached,47,0.044363294146393145
200,0.0,pre_cached,48,0.044363294146393145
200,0.0,pre_cached,49,0.044363294146393145
200,0.0,pre_cached,50,0.044363294146393145
200,0.0,pre_cached,51,0.044363294146393145
200,0.0,full,42,0.5758065424405348
200,0.0,full,43,0.5758065424405348
200,0.0,full,44,0.5758065424405348
200,0.0,full,45,0.5758065424405348
200,0.0,full,46,0.5758065424405348
200,0.0,full,47,0.5758065424405348
200,0.0,full,48,0.5758065424405348
200,0.0,full,49,0.5758065424405348
200,0.0,full,50,0.5758065424405348
200,0.0,full,51,0.5758065424405348
200,0.12,pre_cached,42,0.04113102084609925
200,0.12,pre_cached,43,0.04107463695300034
200,0.12,pre_cached,44,0.041133065334239965
200,0.12,pre_cached,45,0.041122624813274854
200,0.12,pre_cached,46,0.041154521310129366
200,0.12,pre_cached,47,0.0409418211849613
200,0.12,pre_cached,48,0.04110012055399058
200,0.12,pre_cached,49,0.04111408982911552
200,0.12,pre_cached,50,0.04106419730714035
200,0.12,pre_cached,51,0.04112061628547052
200,0.12,full,42,0.5338537490541041
200,0.12,full,43,0.5331219229992695
200,0.12,full,44,0.5338802851729838
200,0.12,full,45,0.5337447740394246
200,0.12,full,46,0.5341587697068597
200,0.12,full,47,0.5313980611975786
200,0.12,full,48,0.5334526834727074
200,0.12,full,49,0.5336339955272981
200,0.12,full,50,0.5329864232240022
200,0.12,full,51,0.5337187046621914
200,0.3,pre_cached,42,0.03707873177933428
200,0.3,pre_cached,43,0.036964375531031254
200,0.3,pre_cached,44,0.03708288575081159
200,0.3,pre_cached,45,0.037061678301321926
200,0.3,pre_cached,46,0.0371265109335952
200,0.3,pre_cached,47,0.03669654665408361
200,0.3,pre_cached,48,0.03701601199956614
200,0.3,pre_cached,49,0.03704435149854898
200,0.3,pre_cached,50,0.03694324510613283
200,0.3,pre_cached,51,0.03705759996062252
200,0.3,full,42,0.48125768734588614
200,0.3,full,43,0.4797734180370167
200,0.3,full,44,0.4813116031787783
200,0.3,full,45,0.4810363443550235
200,0.3,full,46,0.4818778295184879
200,0.3,full,47,0.47629717438630725
200,0.3,full,48,0.48044362562603826
200,0.3,full,49,0.48081145378753504
200,0.3,full,50,0.4794991589420787
200,0.3,full,51,0.48098341016016255
400,0.0,pre_cached,42,0.02269849339238458
400,0.0,pre_cached,43,0.02269849339238458
400,0.0,pre_cached,44,0.02269849339238458
400,0.0,pre_cached,45,0.02269849339238458
400,0.0,pre_cached,46,0.02269849339238458
400,0.0,pre_cached,47,0.02269849339238458
400,0.0,pre_cached,48,0.02269849339238458
400,0.0,pre_cached,49,0.02269849339238458
400,0.0,pre_cached,50,0.02269849339238458
400,0.0,pre_cached,51,0.02269849339238458
400,0.0,full,42,0.29461159840270584
400,0.0,full,43,0.29461159840270584
400,0.0,full,44,0.29461159840270584
400,0.0,full,45,0.29461159840270584
400,0.0,full,46,0.29461159840270584
400,0.0,full,47,0.29461159840270584
400,0.0,full,48,0.29461159840270584
400,0.0,full,49,0.29461159840270584
400,0.0,full,50,0.29461159840270584
400,0.0,full,51,0.29461159840270584
400,0.12,pre_cached,42,0.021009033447492664
400,0.12,pre_cached,43,0.02097961326380526
400,0.12,pre_cached,44,0.02101010026035513
400,0.12,pre_cached,45,0.021004652426184177
400,0.12,pre_cached,46,0.02102129611501804
400,0.12,pre_cached,47,0.020910319064300038
400,0.12,pre_cached,48,0.020992909970124023
400,0.12,pre_cached,49,0.02100019893991241
400,0.12,pre_cached,50,0.020974166219679145
400,0.12,pre_cached,51,0.02100360438875185
400,0.12,full,42,0.2726835133004168
400,0.12,full,43,0.27230165855827104
400,0.12,full,44,0.2726973598336283
400,0.12,full,45,0.27262665050921664
400,0.12,full,46,0.27284267470456286
400,0.12,full,47,0.2714022651702007
400,0.12,full,48,0.2724742411096476
400,0.12,full,49,0.2725688471701884
400,0.12,full,50,0.2722309594881247
400,0.12,full,51,0.2726130476688084
400,0.3,pre_cached,42,0.01889903666245108
400,0.3,pre_cached,43,0.018839622018942636
400,0.3,pre_cached,44,0.01890119502342412
400,0.3,pre_cached,45,0.018890175949850742
400,0.3,pre_cached,46,0.018923862785563884
400,0.3,pre_cached,47,0.018700497341598423
400,0.3,pre_cached,48,0.018866449251188685
400,0.3,pre_cached,49,0.018881173383367283
400,0.3,pre_cached,50,0.01882864432581378
400,0.3,pre_cached,51,0.018888056932347082
400,0.3,full,42,0.2452971350628978
400,0.3,full,43,0.24452597184999386
400,0.3,full,44,0.24532514917666312
400,0.3,full,45,0.24518212880864793
400,0.3,full,46,0.24561936190350647
400,0.3,full,47,0.2427202245318308
400,0.3,full,48,0.2448741717783371
400,0.3,full,49,0.24506528138377398
400,0.3,full,50,0.24438348857308384
400,0.3,full,51,0.2451546253473827
600,0.0,pre_cached,42,0.015250779847052526
600,0.0,pre_cached,43,0.015250779847052526
600,0.0,pre_cached,44,0.015250779847052526
600,0.0,pre_cached,45,0.015250779847052526
600,0.0,pre_cached,46,0.015250779847052526
600,0.0,pre_cached,47,0.015250779847052526
600,0.0,pre_cached,48,0.015250779847052526
600,0.0,pre_cached,49,0.015250779847052526
600,0.0,pre_cached,50,0.015250779847052526
600,0.0,pre_cached,51,0.015250779847052526
600,0.0,full,42,0.19794514772224286
600,0.0,full,43,0.19794514772224286
600,0.0,full,44,0.19794514772224286
600,0.0,full,45,0.19794514772224286
600,0.0,full,46,0.19794514772224286
600,0.0,full,47,0.19794514772224286
600,0.0,full,48,0.19794514772224286
600,0.0,full,49,0.19794514772224286
600,0.0,full,50,0.19794514772224286
600,0.0,full,51,0.19794514772224286
600,0.12,pre_cached,42,0.014107437617317576
600,0.12,pre_cached,43,0.014087539299356858
600,0.12,pre_cached,44,0.014108159162947028
600,0.12,pre_cached,45,0.014104474491475493
600,0.12,pre_cached,46,0.01411573158197442
600,0.12,pre_cached,47,0.014040673816644868
600,0.12,pre_cached,48,0.01409653246614962
600,0.12,pre_cached,49,0.014101462362723197
600,0.12,pre_cached,50,0.014083855239578114
600,0.12,pre_cached,51,0.014103765647358841
600,0.12,full,42,0.18310531337726654
600,0.12,full,43,0.1828470462245268
600,0.12,full,44,0.18311467856761365
600,0.12,full,45,0.18306685394185318
600,0.12,full,46,0.18321296361388828
600,0.12,full,47,0.1822387629110481
600,0.12,full,48,0.1829637716475633
600,0.12,full,49,0.1830277584807154
600,0.12,full,50,0.18279922953813865
